,acc,taxid,lineage
142660,EF056009,10752,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Enquatrovirus;Escherichia virus N4
142661,EF057797,261726,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Hapunavirus;Vibrio virus VP882
142662,EF068134,39804,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
142667,FJ539132,39804,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
142672,FJ539133,39804,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
142677,FJ539134,39804,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
142682,FJ539135,39804,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
142687,EF071488,425386,Viruses;__;__;__;__;__;Pyrococcus abyssi virus 1
142688,EF108464,329852,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142690,LT898437,329852,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142692,EF108465,12022,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142697,EF204939,12022,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142702,EF204940,12022,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142707,JQ966307,12022,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142712,MK213795,12022,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus MS2
142717,EF116926,413066,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage SMP
142718,EF136589,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142725,KJ206559,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142732,KJ206560,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142739,KJ206561,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142746,KJ206562,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142753,KJ206563,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142760,MH844528,307898,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus phage 812
142767,EF153632,417280,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Burkholderia virus BcepF1
142768,EF160123,418443,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Eracentumvirus;Erwinia virus Era103
142769,EF177456,424944,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Jerseyvirus;Salmonella virus SETP3
142770,EF207558,423476,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage phi3396
142771,EF372997,438482,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Voetvirus;Synechococcus virus Syn5
142772,EF432053,437444,Viruses;__;__;__;Ampullaviridae;Ampullavirus;Acidianus bottle-shaped virus
142773,EF437941,448384,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Krischvirus;Escherichia virus phi1
142774,EF455602,12348,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactobacillus phage LL-H
142775,EF460875,451705,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Chaseviridae;Carltongylesvirus;Enterobacteria phage phiEcoM-GJ1
142776,EF462197,445515,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Biseptimavirus;Staphylococcus phage tp310-1
142777,EF462198,445516,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Triavirus;Staphylococcus phage tp310-2
142778,EF462199,445517,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Biseptimavirus;Staphylococcus phage tp310-3
142779,EF469154,293178,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Dhakavirus;Escherichia virus JS98
142780,EF506570,455649,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae;Vespertiliovirus;Spiroplasma virus SkV1CR23x
142781,EF523948,437329,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Burkholderia phage BcepGomr
142782,EF529515,459845,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Brussowvirus;Streptococcus virus 858
142783,EF536069,439809,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cheoctovirus;Mycobacterium virus Tweety
142784,EF537008,440250,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Phormidium virus WMP3
142785,EF579802,446529,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Minunavirus;Microbacterium virus Min1
142786,EF583821,458639,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Bacillus phage 0305phi8-36
142787,EF602154,446807,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Naesvirus;Burkholderia virus BcepNY3
142788,EF694684,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142798,EF694685,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142808,EF694686,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142818,EF694687,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142828,EF694688,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142838,EF694689,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142848,EF694690,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142858,EF694691,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142868,EF694693,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142878,EF694694,464033,Viruses;__;__;__;__;__;Campylobacter phage CGC-2007
142888,EU030938,459290,Viruses;__;__;__;Fuselloviridae;Alphafusellovirus;Sulfolobus spindle-shaped virus 4
142889,EU030939,459291,Viruses;__;__;__;Fuselloviridae;Alphafusellovirus;Sulfolobus spindle-shaped virus 5
142890,EU056923,476523,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Phikmvvirus;Pseudomonas virus PT5
142891,EU078592,482822,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Lambdavirus;Escherichia virus DE3
142892,EU081845,475178,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactococcus phage 1706
142893,EU100883,466051,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Oshimavirus;Thermus virus P23-45
142894,EU100884,466052,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Oshimavirus;Thermus virus P74-26
142895,EU124666,469660,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Thalassomonas phage BA3
142896,EU136189,470865,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Rosenblumvirus;Staphylococcus virus SAP2
142897,EU197055,198110,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Phikzvirus;Pseudomonas phage 201phi2-1
142898,EU203571,480808,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Gilesvirus;Mycobacterium virus Giles
142899,EU221285,494269,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Bibb29
142900,EU236438,496396,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Phikmvvirus;Pseudomonas virus PT2
142901,EU246945,496874,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactobacillus phage Lrm1
142902,EU272036,505291,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Casadabanvirus;Pseudomonas virus MP29
142903,EU272037,505292,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Casadabanvirus;Pseudomonas virus MP38
142904,EU307292,489258,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Burkholderia phage Bups phi1
142905,EU311208,489779,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Traversvirus;Escherichia virus Min27
142906,EU330206,490103,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Kuravirus;Escherichia virus phiEco32
142907,EU340421,508419,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cequinquevirus;Lactobacillus virus c5
142908,EU350361,491893,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Abalone shriveling syndrome-associated virus
142909,EU399241,499235,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Hapunavirus;Halomonas virus HAP1
142910,EU408779,513550,Viruses;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae;Betatectivirus;Bacillus virus AP50
142911,EU409559,37105,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactobacillus phage JCL1032
142912,EU418428,516541,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus virus G1
142913,EU438902,503388,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Lactococcus phage asccphi28
142914,EU545650,512792,Viruses;__;__;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 9
142915,EU547803,529929,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Teetrevirus;Salmonella virus SG-JL2
142916,EU568876,515982,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Liefievirus;Mycobacterium phage BPs
142917,EU570103,348058,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lederbergvirus;Salmonella phage epsilon34
142918,EU588980,541865,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Clostridium phage phiCP39-O
142919,EU622808,10753,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacillus phage Nf
142920,EU652770,526118,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Minipunavirus;Morganella virus MmP1
142921,EU676000,528321,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Plotvirus;Mycobacterium virus Plot
142922,EU710883,557393,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Kolesnikvirus;Erwinia virus Ea214
142923,EU716414,538398,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus PB1
142924,EU717894,538979,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Eisenstarkvirus;Xanthomonas virus PhiL7
142925,EU719189,559189,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Lubbockvirus;Clostridium virus phiCD27
142926,EU734170,532078,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Berlinvirus;Yersinia virus Yepe2
142927,EU734171,532074,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Berlinvirus;Escherichia virus BA14
142928,EU734172,532075,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Kayfunavirus;Escherichia virus EcoDS1
142929,EU734173,532077,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Przondovirus;Klebsiella virus K11
142930,EU734174,532076,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Teseptimavirus;Enterobacteria phage 13a
142931,EU744248,540066,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus KBG
142932,EU744249,540067,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus lockley
142933,EU744250,540068,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus Pukovnik
142934,EU744251,540065,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus Jasper
142935,EU744252,540064,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium phage DD5
142936,EU770221,543152,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Coopervirus;Mycobacterium virus Nigel
142937,EU770222,543153,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Barnyardvirus;Mycobacterium virus Predator
142938,EU771092,10756,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Salasvirus;Bacillus virus phi29
142940,M14782,10756,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Salasvirus;Bacillus virus phi29
142942,EU794049,340054,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-2
142944,LR794152,340054,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-2
142946,EU794050,568991,Viruses;__;__;__;__;__;Bacteriophage APSE-5
142947,EU794051,568990,Viruses;__;__;__;__;__;Bacteriophage APSE-4
142948,EU794052,568993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-7
142953,LR794146,568993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-7
142958,LR794147,568993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-7
142963,LR794149,568993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-7
142968,LR794151,568993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Bacteriophage APSE-7
142973,EU816588,546185,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Kostyavirus;Mycobacterium virus Porky
142974,EU816589,546184,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Pipefishvirus;Mycobacterium phage Phaedrus
142975,EU816591,546183,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Kostyavirus;Mycobacterium virus Kostya
142976,EU822883,557289,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Burkholderia phage KS10
142977,EU826468,546808,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Bixzunavirus;Mycobacterium virus Bxz1
142978,EU826469,546807,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Bixzunavirus;Mycobacterium virus Bxz1
142979,EU826470,555603,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus Solon
142980,EU861004,2681608,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Phietavirus;Staphylococcus virus IPLA88
142981,EU861005,575610,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Triavirus;Staphylococcus virus IPLA35
142982,EU863408,576789,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Krischvirus;Escherichia virus JSE
142983,EU863409,576790,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Dhakavirus;Escherichia virus JS10
142984,EU871039,578234,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactobacillus phage Lv-1
142985,EU874396,552525,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cecivirus;Bacillus virus IEBH
142986,EU876853,551895,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Iodovirus;Iodobacter virus PLPE
142987,EU877232,576791,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Felixounavirus;Escherichia virus wV8
142988,EU887664,565140,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Lwoffvirus;Bacillus virus TP21
142989,EU982300,557989,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Pseudomonas phage DVM-2008
142990,FJ000341,590739,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lederbergvirus;Salmonella phage g341c
142991,FJ008913,99179,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Bacteroides phage B40-8
142992,FJ168659,561996,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Brujitavirus;Mycobacterium virus Brujita
142993,FJ168660,561997,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Plotvirus;Mycobacterium virus Plot
142994,FJ168661,561998,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Plotvirus;Mycobacterium virus Plot
142995,FJ168662,561999,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Plotvirus;Mycobacterium virus Plot
142996,FJ174690,563119,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cheoctovirus;Mycobacterium virus Fruitloop
142997,FJ174691,563121,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Barnyardvirus;Mycobacterium virus Konstantine
142998,FJ174692,563122,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cheoctovirus;Mycobacterium virus Pacc40
142999,FJ174693,563123,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Cheoctovirus;Mycobacterium virus Ramsey
143000,FJ174694,563124,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Pegunavirus;Mycobacterium virus Pg1
143001,FJ184280,564886,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterobacteria phage YYZ-2008
143002,FJ188381,563769,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Stx2-converting phage 1717
143003,FJ194439,47049,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Berlinvirus;Kluyvera virus Kvp1
143004,FJ226752,682370,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Brussowvirus;Streptococcus virus ALQ132
143005,FJ236310,633135,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Moineauvirus;Streptococcus virus phiAbc2
143006,FJ373894,637730,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Ackermannviridae;Agtrevirus;Shigella virus AG3
143007,FJ409640,644563,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Chatterjeevirus;Vibrio virus N4
143008,FJ429185,641487,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Lactococcus phage P087
143009,FJ483837,329853,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus BZ13
143012,FJ483838,329853,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus BZ13
143015,FJ483839,329853,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Levivirus;Escherichia virus BZ13
143018,FJ591093,490912,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Baltimorevirus;Silicibacter phage DSS3phi2
143019,FJ591094,490913,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Baltimorevirus;Sulfitobacter phage EE36phi1
143020,FJ641182,591487,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Pipefishvirus;Mycobacterium phage Phlyer
143021,FJ685651,634168,Viruses;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae;Alphapleolipovirus;Alphapleolipovirus HRPV1
143022,FJ706171,504501,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Pahexavirus;Propionibacterium virus PAD20
143023,FJ706172,504553,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Pahexavirus;Propionibacterium virus PAS50
143024,FJ713816,648017,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Biseptimavirus;Staphylococcus phage phiPVL-CN125
143025,FJ750948,2681619,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Dhillonvirus;Escherichia virus SSL2009a
143026,FJ792813,627087,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterococcus phage EFAP-1
143027,FJ822135,632112,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;__;Lactobacillus virus Lb338-1
143028,FJ839692,2681597,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Tequatrovirus;Escherichia virus RB14
143029,FJ839693,10693,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Tequatrovirus;Enterobacteria phage RB51
143030,FJ848881,287412,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Sl4
143031,FJ848882,665883,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus CB13
143032,FJ848883,665884,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus CB14
143033,FJ848884,665886,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus CB19
143034,FJ848885,665887,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus CB20
143035,FJ870915,693627,Viruses;__;__;__;Fuselloviridae;Betafusellovirus;Sulfolobus spindle-shaped virus 6
143036,FJ870916,693628,Viruses;__;__;__;Fuselloviridae;Alphafusellovirus;Sulfolobus spindle-shaped virus 7
143037,FJ870917,693629,Viruses;__;__;__;Fuselloviridae;Betafusellovirus;Acidianus spindle-shaped virus 1
143038,FJ896200,641832,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Maculvirus;Vibrio virus VP93
143039,FJ904927,642111,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Fibrovirus;Vibrio phage VEJphi
143040,FJ937737,644524,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lessievirus;Burkholderia virus Bcepil02
143041,FJ965538,646413,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 5093
143042,FJ973624,649688,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Liefievirus;Mycobacterium phage Angel
143043,FJ982340,335797,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Stanholtvirus;Burkholderia phage KS9
143044,FM163528,537874,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage PH15
143045,FM164764,537009,Viruses;__;__;Ligamenvirales;Rudiviridae;Rudivirus;Stygiolobus rod-shaped virus
143046,FM180578,254397,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterobacteria phage 2851
143047,FM201281,549445,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus LBL3
143048,FM201282,549446,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus LMA2
143049,FM207411,555387,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Cymopoleiavirus;Synechococcus phage S-RSM4
143050,FM864213,571950,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage phi-m46.1
143051,FM887021,582382,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus SN
143052,FM897211,581037,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus 141
143053,FN263372,627480,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Phikmvvirus;Pseudomonas virus kF77
143054,FN297812,631719,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Vhmlvirus;Vibrio virus VP585
143055,FN391954,644007,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage PH10
143056,FN422398,655097,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Luzseptimavirus;Pseudomonas virus LUZ7
143057,FN422399,655098,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Litunavirus;Pseudomonas virus LIT1
143058,FN436268,645116,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Acaryochloris phage A-HIS1
143059,FN582354,10713,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterobacteria phage phi80
143061,JX871397,10713,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Enterobacteria phage phi80
143063,FN594518,693582,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Tunggulviirus;Pseudomonas virus f2
143064,FN667788,722417,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Firehammervirus;Campylobacter virus CP220
143065,FN667789,722418,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Firehammervirus;Campylobacter virus CPt10
143066,FN997652,861448,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage phi-SsUD.1
143067,FO818745,1590550,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Punavirus;Escherichia virus RCS47
143068,FQ312032,1987993,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Viunavirus;Salmonella virus ViI
143069,FQ482083,925986,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Kolesnikvirus;Erwinia virus Ea214
143070,FQ482084,925985,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Eracentumvirus;Erwinia phage phiEa1H
143071,FQ482085,925984,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Erwinia phage phiEt88
143072,FQ482086,925983,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Eracentumvirus;Erwinia phage phiEa100
143073,FR667955,866889,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Teseptimavirus;Salmonella virus Vi06
143074,FR671405,870469,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage V22
143075,FR671406,870470,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 040922
143076,FR671407,870471,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 34117
143077,FR671408,870472,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 23782
143078,FR671409,870473,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 11865
143079,FR671410,870474,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 8140
143080,FR671411,870475,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Streptococcus phage 2167
