,acc,taxid,lineage
217,AB426868,10754,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lederbergvirus;Salmonella virus P22
221,AF217253,10754,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lederbergvirus;Salmonella virus P22
225,MN161573,10754,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Lederbergvirus;Salmonella virus P22
229,AB366653,1980924,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Mieseafarmvirus;Ralstonia virus RSL1
230,AB370205,487152,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Phietavirus;Staphylococcus virus phiMR25
231,AB370268,379501,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Phietavirus;Staphylococcus virus phiMR11
232,AB374228,493906,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Longwoodvirus;Vibrio virus Kappa
233,AB434711,520962,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Habenivirus;Ralstonia virus RSM3
234,AB451219,551790,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Higashivirus;Ralstonia virus RSB1
235,AB472900,582345,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Nankokuvirus;Pseudomonas virus KPP10
236,AB560486,763998,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Pbunavirus;Pseudomonas virus KPP12
237,AB572858,867695,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Fibrovirus;Vibrio phage ND1-fs1
238,AB597179,913183,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Kelmasvirus;Ralstonia virus RSB2
239,AB605730,941058,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;__;Bacillus phage SP-10
240,AB609718,947379,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kochikohdavirus;Enterococcus virus EF24C
241,AB626962,1010614,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Rosenblumvirus;Staphylococcus virus S24-1
242,AB626963,1010615,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Rosenblumvirus;Staphylococcus phage S13'
243,AB647160,1208236,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Schmidvirus;Helicobacter virus KHP30
244,AB711120,547228,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Saundersvirus;Bacillus phage PM1
245,AB712291,1173135,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Saphexavirus;Enterococcus virus BC611
246,AB716666,1194091,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Drulisvirus;Klebsiella virus K244
247,AB720063,1188794,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Klementvirus;Xanthomonas virus CP1
248,AB720064,1188795,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Xanthomonas citri phage CP2
249,AB731695,1204178,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Schmidvirus;Helicobacter virus KHP40
250,AB746912,1230469,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Nitratiruptor phage NrS-1
251,AB757800,1244856,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Kafunavirus;Edwardsiella virus KF1
252,AB757801,1244857,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Kafunavirus;Edwardsiella virus KF1
253,AB767244,1264700,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Yokohamavirus;Edwardsiella virus MSW3
254,AB775548,1279082,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Jilinvirus;Pseudomonas phage PPpW-3
255,AB775549,1279083,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Phutvirus;Pseudomonas virus PPpW4
256,AB797215,2169687,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Ackermannviridae;Taipeivirus;Klebsiella virus 0507KN21
257,AB823818,1352230,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Thermus phage phi OH2
258,AB828698,1352227,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;__;Ralstonia phage RSS30
259,AB853330,1041526,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus virus S253
260,AB853331,1041527,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus virus S25-4
261,AB854109,1402875,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Jiaoyazivirus;Ralstonia virus RSB3
262,AB863625,1417599,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;__;Ralstonia phage RSK1
263,AB897757,1439894,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Alcyoneusvirus;Klebsiella virus K64-1
264,AB903967,1450142,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Kayvirus;Staphylococcus virus SA12
265,AB910392,1462581,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Pseudomonas phage KPP23
266,AB910393,1462608,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;Kochitakasuvirus;Pseudomonas virus KPP25
267,AB910602,1463607,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Coriovirus;Xanthomonas virus Cf1c
268,AB916497,1483485,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Ralstonia phage RS138
269,AB920995,1481785,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Risjevirus;Ralstonia virus RSJ2
270,AB930182,1497851,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Nitunavirus;Bacillus virus SPG24
271,AB931172,1497850,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;__;Ralstonia phage RS611
272,AB937974,1505528,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Habenivirus;Ralstonia virus RS603
273,AB967974,1503929,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Aurantimonas phage AmM-1
274,AB971354,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
280,FJ483840,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
286,FJ483841,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
292,FJ483842,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
298,FJ483843,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
304,FJ483844,39803,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
310,AB981169,1530085,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Aresaunavirus;Ralstonia virus RSY1
311,AB981170,1530086,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Habenivirus;Ralstonia virus RSM3
312,AB983711,1538364,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Autographiviridae;Risjevirus;Ralstonia virus RSJ5
313,ACSJ01000013,658056,Viruses;__;__;__;__;__;Clostridium phage D-1873
317,ACSJ01000015,658056,Viruses;__;__;__;__;__;Clostridium phage D-1873
321,ACSJ01000017,658056,Viruses;__;__;__;__;__;Clostridium phage D-1873
325,ACSJ01000018,658056,Viruses;__;__;__;__;__;Clostridium phage D-1873
329,AF009630,63118,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus bIL170
330,AF011378,31532,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus sk1
331,AF020713,66797,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Spbetavirus;Bacillus virus SPbeta
332,AF022214,28369,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus D29
334,AP018480,28369,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Fromanvirus;Mycobacterium virus D29
336,AF031901,10685,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Okubovirus;Bacillus virus SPO1
338,FJ230960,10685,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Okubovirus;Bacillus virus SPO1
340,AF034975,69932,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Lambdavirus;Enterobacteria phage H-19B
341,AF059242,75723,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus Qbeta
342,AF059243,75725,Viruses;Lenarviricota;Allassoviricetes;Levivirales;Leviviridae;Allolevivirus;Escherichia virus FI
343,AF063097,10679,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Peduovirus;Escherichia virus P2
344,AF064539,40631,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Ravinvirus;Escherichia virus N15
345,AF065411,77048,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Psimunavirus;Psimunavirus psiM2
346,AF068845,88870,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Timquatrovirus;Mycobacterium virus TM4
