#OTU ID	combined_L0006_006	combined_L0003_003
NODE-3-length-78528-cov-14-369745	0.10505486430994673	0.5371331043735657
NODE-22-length-30168-cov-24-851825	0.1548152471393593	1.0087406205166243
NODE-27-length-26737-cov-19-169028	0.09924173547473499	0.7335238489423593
NODE-2-length-58591-cov-81-502187	4.02045291249381	0.0
NODE-3-length-36129-cov-17-688418	0.5218794543099701	0.0
NODE-4-length-33766-cov-19-363324	0.5357844584837964	0.0
NODE-5-length-33128-cov-16-309255	0.494069445962317	0.0
NODE-6-length-29255-cov-27-943322	1.3021873641181136	0.0
NODE-7-length-24930-cov-20-925990	0.55015451296444	0.0
NODE-9-length-19620-cov-8-361155	0.19094965597903554	0.5494104324735328
NODE-11-length-18760-cov-13-303769	0.5351333880542528	0.0
NODE-12-length-15644-cov-14-602604	0.46788711368852326	0.0
NODE-13-length-14170-cov-10-270280	0.441332741169276	0.0
NODE-14-length-12941-cov-14-480677	0.6263297532210547	0.0
NODE-15-length-11628-cov-13-922233	0.514113114186127	0.0
NODE-16-length-11477-cov-12-831991	0.5663382636416695	0.0
NODE-21-length-9527-cov-20-569046	0.5686170101450724	0.0
NODE-32-length-7340-cov-13-701304	0.46332962068171724	0.0
NODE-36-length-6395-cov-16-323817	0.7354305552003088	0.0
NODE-37-length-6265-cov-19-105636	1.133281092682201	0.0
NODE-44-length-5304-cov-11-628882	0.5080209551668252	0.0
NODE-45-length-5284-cov-29-172882	1.3461811231429959	0.0
NODE-49-length-5056-cov-9-734653	0.7171075731117214	0.0
NODE-66-length-3676-cov-17-972659	0.7769130425683799	0.0
NODE-67-length-3669-cov-13-863309	0.6594878400971025	0.0
NODE-86-length-2801-cov-9-029862	0.7856559883365384	0.0
NODE-15-length-39942-cov-32-951488	0.0	1.272935699819328
NODE-16-length-37854-cov-25-449059	0.0	1.030365459783612
NODE-18-length-36109-cov-16-319493	0.0	0.6625571721220944
NODE-2-length-105961-cov-50-794969	0.0	5.444483456997961
NODE-4-length-78161-cov-36-432105	0.0	2.3028361092961234
NODE-5-length-74935-cov-46-334776	0.0	2.4508151169252734
NODE-6-length-67109-cov-8-715065	0.0	0.29400480396966944
NODE-7-length-60631-cov-45-667624	0.0	5.7975031449027
NODE-8-length-56473-cov-66-142632	0.0	7.6175705306921575
NODE-9-length-50836-cov-28-484532	0.0	1.4307272689223156
NODE-10-length-49681-cov-52-444727	0.0	5.343521035388004
NODE-11-length-47903-cov-26-131562	0.0	0.811094240119425
NODE-12-length-44614-cov-27-590812	0.0	1.391942073333783
NODE-13-length-42709-cov-26-078703	0.0	2.3231588077040235
NODE-14-length-42593-cov-61-318821	0.0	3.7956010891478185
NODE-20-length-31904-cov-86-905774	0.0	5.812245239628798
NODE-21-length-30898-cov-25-624323	0.0	1.8409946495962202
NODE-23-length-29582-cov-48-543706	0.0	5.771367317659588
NODE-25-length-27102-cov-32-212926	0.0	2.5203866428250876
NODE-26-length-26938-cov-16-970874	0.0	1.4438881926052352
NODE-28-length-26342-cov-62-620953	0.0	3.5623783602791232
NODE-29-length-26308-cov-46-815031	0.0	5.5602344783646975
NODE-30-length-25367-cov-8-563567	0.0	0.32320996323777323
NODE-31-length-25299-cov-25-733560	0.0	1.0807769130425684
NODE-33-length-23999-cov-13-627715	0.0	0.9532136138826819
NODE-34-length-23295-cov-97-113167	0.0	13.112232915795667
NODE-35-length-22863-cov-79-982988	0.0	4.476574253419864
NODE-36-length-21628-cov-8-703889	0.0	0.34009128937522815
NODE-37-length-21019-cov-66-950057	0.0	3.785556002520573
NODE-39-length-19034-cov-30-572686	0.0	3.501782305300876
NODE-40-length-17823-cov-13-440792	0.0	0.46425972129535115
NODE-41-length-16209-cov-11-695741	0.0	0.5349938729622078
NODE-42-length-15944-cov-22-931147	0.0	3.064402491739544
NODE-45-length-14523-cov-15-126970	0.0	1.5605228095549237
NODE-47-length-14339-cov-8-214436	0.0	0.38501514901374456
NODE-49-length-13385-cov-13-054239	0.0	1.0941703618788963
NODE-50-length-12831-cov-17-394177	0.0	0.712317554951507
NODE-51-length-12693-cov-29-442238	0.0	1.226895719444451
NODE-52-length-12394-cov-14-265094	0.0	1.1988531859433895
NODE-61-length-10345-cov-13-403499	0.0	1.1174228772197432
NODE-66-length-8735-cov-12-730760	0.0	0.6005194611927145
NODE-72-length-7839-cov-21-566161	0.0	2.4063563075935743
NODE-77-length-7653-cov-15-627402	0.0	0.6833914258674932
NODE-88-length-5930-cov-55-342638	0.0	2.7309149167211166
NODE-89-length-5870-cov-10-705933	0.0	0.691018250899291
NODE-98-length-5104-cov-7-255298	0.0	0.4886283573725588
NODE-111-length-4161-cov-8-263517	0.0	0.705620830533343
NODE-115-length-3940-cov-7-733076	0.0	0.5858703765279809
NODE-118-length-3840-cov-8-448877	0.0	0.9919988094712147
NODE-124-length-3611-cov-11-894544	0.0	0.8145356123898704
NODE-133-length-3422-cov-19-161568	0.0	1.6412555428183444
NODE-146-length-3063-cov-7-393285	0.0	0.8972680619726039
NODE-147-length-3043-cov-9-991633	0.0	1.3827340772588075
